image_id,Original_question,q_type,Mod_qns_Gemini,image_url,Modified_question,Mod_qns_textinput,GT_answer
COCO_train2014_000000228794,Is this a park?,Is this,Is this a botanical park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228794.jpg,Is this a <span style='color:red'>botanical</span> park?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> park?,yes
COCO_train2014_000000335304,Are there any bright colors in here?,Are,Are there any bright colors on the pillows?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000335304.jpg,Are there any bright colors <span style='color:red'>on the pillows?</span>,Are there any bright colors <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000231078,Does the man have a beard?,Does,Does the shirtless man have a beard?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231078.jpg,Does the <span style='color:red'>shirtless</span> man have a beard?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> man have a beard?,no
COCO_train2014_000000310573,Is this boat a pontoon?,Is this,Is this white boat a pontoon?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000310573.jpg,Is this <span style='color:red'>white</span> boat a pontoon?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> boat a pontoon?,no
COCO_train2014_000000467334,Is this room well lit?,Is this,Is this room with furniture well lit?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000467334.jpg,Is this <span style='color:red'>brightly lit</span> room well lit?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> room well lit?,no
COCO_train2014_000000292238,Is there an avalanche taking place?,Is there,Is there a large avalanche taking place?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000292238.jpg,Is there <span style='color:red'>a large</span> avalanche taking place?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> avalanche taking place?,no
COCO_train2014_000000074739,Is there a protest going on?,Is there,Is there a political protest going on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000074739.jpg,Is there a <span style='color:red'>political</span> protest going on?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> protest going on?,yes
COCO_train2014_000000372615,Is the mirror on the driver's side?,Is the,Is the small mirror on the driver's side?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000372615.jpg,Is the <span style='color:red'>small</span> mirror on the driver's side?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> mirror on the driver’s side?,no
COCO_train2014_000000003782,Is the pair of scissors sharp?,Is the,Is the pair of scissors on the right sharp?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000003782.jpg,Is the pair of scissors <span style='color:red'>on the right</span> sharp?,Is the pair of scissors <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sharp?,yes
COCO_train2014_000000518774,Is there snow on the ground?,Is there,Is there any snow on the ground in front of the castle?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000518774.jpg,Is there any snow on the ground <span style='color:red'>in the foreground?</span>,Is there snow on the ground <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000427396,Is the girls wearing bangles?,Is the,Is the girl jumping wearing bangles?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000427396.jpg,Is the <span style='color:red'>girl jumping</span> wearing bangles?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> wearing bangles?,no
COCO_train2014_000000033891,Is the sign in English?,Is the,Is the sign on the pole in English?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000033891.jpg,Is the <span style='color:red'>green</span> sign in English?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sign in English?,yes
COCO_train2014_000000100486,Is this animal facing the camera?,Is this,Is this large animal facing the camera?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000100486.jpg,Is this <span style='color:red'>small</span> animal facing the camera?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> animal facing the camera?,yes
COCO_train2014_000000294535,Does this bread look soft?,Does,Does the bread behind the bowl look soft?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000294535.jpg,Does this bread <span style='color:red'>on the left</span> look soft?,Does this bread <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> look soft?,yes
COCO_train2014_000000337325,Is this an I-phone?,Is this,Is this black phone an I-phone?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337325.jpg,Is this <span style='color:red'>black phone</span> an I-phone?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> an I-phone?,no
COCO_train2014_000000414046,Is the woman wearing something on her head?,Is the,Is the older woman wearing something on her head?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000414046.jpg,Is the <span style='color:red'>older</span> woman wearing something on her head?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> woman wearing something on her head?,yes
COCO_train2014_000000164208,Is the window open?,Is the,Is the white window open?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000164208.jpg,Is the <span style='color:red'>white</span> window open?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> window open?,yes
COCO_train2014_000000444871,Are the animals in their natural habitat?,Are,Are the black and white animals in their natural habitat?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000444871.jpg,Are the <span style='color:red'>black</span> animals in their natural habitat?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> animals in their natural habitat?,yes
COCO_train2014_000000359323,Does the elephant have a tusk?,Does,Does the left elephant have a tusk?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000359323.jpg,Does the <span style='color:red'>left</span> elephant have a tusk?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> elephant have a tusk?,yes
COCO_train2014_000000346472,Is there any city lights?,Is there,Is there any red city lights?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000346472.jpg,Is there any <span style='color:red'>red</span> city lights?,Is there any <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> city lights?,yes
COCO_train2014_000000427915,Are the surfers walking into the water?,Are,Are the surfers on the shore walking into the water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000427915.jpg,Are the surfers <span style='color:red'>on the shore</span> walking into the water?,Are the surfers <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> walking into the water?,no
COCO_train2014_000000036816,Are any of the spectators sitting down?,Are,Are any of the spectators in the dugout sitting down?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000036816.jpg,Are any of the spectators <span style='color:red'>in the dugout</span> sitting down?,Are any of the spectators <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sitting down?,no
COCO_train2014_000000065894,Does it look like these boats will collide?,Does,Does it look like these colorful boats will collide?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000065894.jpg,Does it look like these <span style='color:red'>colorful</span> boats will collide?,Does it look like these <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> boats will collide?,yes
COCO_train2014_000000122899,Are those baby giraffes?,Are,Are those baby giraffes in the enclosure?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000122899.jpg,Are those baby giraffes <span style='color:red'>in the enclosure?</span>,Are those baby giraffes <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000060055,Does the surfboard hate the water?,Does,Does the red surfboard hate the water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000060055.jpg,Does the <span style='color:red'>red</span> surfboard hate the water?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> surfboard hate the water?,no
COCO_train2014_000000233614,Is there a microwave oven?,Is there,Is there a white microwave oven?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000233614.jpg,Is there a <span style='color:red'>white</span> microwave oven?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> microwave oven?,no
COCO_train2014_000000108154,Are these people at a zoo?,Are,Are these people near the giraffes at a zoo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000108154.jpg,Are these people <span style='color:red'>near the giraffes</span> at a zoo?,Are these people <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> at a zoo?,yes
COCO_train2014_000000075927,Does this look like a dangerous day to fly?,Does,Does this look like a dangerous day to fly in the white airplane?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000075927.jpg,Does this look like a dangerous day to fly <span style='color:red'>in the white airplane?</span>,Does this look like a dangerous day to fly <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000231684,Are these airplane windows?,Are,Are these small airplane windows?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231684.jpg,Are these <span style='color:red'>small</span> airplane windows?,Are these <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> airplane windows?,yes
COCO_train2014_000000249151,Is this a big celebration?,Is this,Is this a big wedding celebration?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000249151.jpg,Is this a <span style='color:red'>small</span> celebration?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> celebration?,yes
COCO_train2014_000000312946,Are the animals looking in the same direction?,Are,Are the brown and black animals looking in the same direction?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000312946.jpg,Are the <span style='color:red'>brown</span> animals looking in the same direction?,Are the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> animals looking in the same direction?,yes
COCO_train2014_000000086679,Are both men running?,Are,Are both men in grey uniforms running?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000086679.jpg,Are both men <span style='color:red'>in grey uniforms</span> running?,Are both men <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> running?,yes
COCO_train2014_000000156171,Is the dog looking out of a car window?,Is the,Is the brown dog looking out of a car window?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000156171.jpg,Is the <span style='color:red'>brown</span> dog looking out of a car window?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> dog looking out of a car window?,yes
COCO_train2014_000000480023,Does the picture portray a whole or partial sandwich?,Does,Does the picture portray a whole or partial hot dog on hand?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000480023.jpg,Does the picture portray a whole or partial <span style='color:red'>hot dog?</span>,Does the picture portray a whole or partial <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,whole
COCO_train2014_000000491182,Are any of the clocks telling the right time?,Are,Are any of the clocks on the tree telling the right time?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000491182.jpg,Are any of the clocks <span style='color:red'>on the tree</span> telling the right time?,Are any of the clocks <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> telling the right time?,no
COCO_train2014_000000345014,Is the train producing steam or smoke?,Is the,Is the train on the left producing steam or smoke?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000345014.jpg,Is the train <span style='color:red'>on the left</span> producing steam or smoke?,Is the train <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> producing steam or smoke?,smoke
COCO_train2014_000000175126,Are there shadows?,Are,Are there any shadows cast by the banana trees?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000175126.jpg,Are there shadows <span style='color:red'>cast by the banana trees?</span>,Are there shadows <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000579414,Is the batter left handed?,Is the,Is the batter wearing a black shirt left handed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000579414.jpg,Is the batter <span style='color:red'>wearing a black shirt</span> left handed?,Is the batter <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> left handed?,yes
COCO_train2014_000000326477,Are all three pieces of food classified as fruit?,Are,Are all three pieces of food in the bowl classified as fruit?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000326477.jpg,Are all three pieces of food <span style='color:red'>in the bowl</span> classified as fruit?,Are all three pieces of food <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> classified as fruit?,yes
COCO_train2014_000000459104,Is this plane taking off or landing?,Is this,Is this red and white plane taking off or landing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000459104.jpg,Is this <span style='color:red'>red</span> plane taking off or landing?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> plane taking off or landing?,landing
COCO_train2014_000000422461,Do you see a mug on the table?,Do,Do you see a gray mug on the table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000422461.jpg,Do you see a <span style='color:red'>gray</span> mug on the table?,Do you see a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> mug on the table?,no
COCO_train2014_000000215840,Are these spring flowers?,Are,Are these purple spring flowers?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000215840.jpg,Are these <span style='color:red'>purple</span> flowers?,Are these <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> flowers?,yes
COCO_train2014_000000109580,Are the eyes closed on the man with a tie?,Are,Are the eyes closed on the man with a tie in the suit?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000109580.jpg,Are the eyes closed on the man with a tie <span style='color:red'>in the suit?</span>,Are the eyes closed on the man with a tie <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000077912,Is this boat stuck in mud?,Is this,Is the white boat stuck in mud?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000077912.jpg,Is <span style='color:red'>the white</span> boat stuck in mud?,Is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> boat stuck in mud?,yes
COCO_train2014_000000102460,Is there water?,Is there,Is there muddy water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000102460.jpg,Is there <span style='color:red'>muddy</span> water?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> water?,yes
COCO_train2014_000000418989,Is the large giraffe a male?,Is the,Is the large giraffe on the right a male?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000418989.jpg,Is the large giraffe <span style='color:red'>on the right</span> a male?,Is the large giraffe <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> a male?,yes
COCO_train2014_000000144925,Is this a classical Greek building?,Is this,Is this a classical Greek building on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000144925.jpg,Is this a classical Greek building <span style='color:red'>on the right?</span>,Is this a classical Greek building <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000025388,Are there flowers in the vase?,Are,Are there any flowers in the glass vase?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025388.jpg,Are there <span style='color:red'>any glass</span> flowers in the vase?,Are there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> flowers in the vase?,no
COCO_train2014_000000525124,Are they downhill skiing or cross-country skiing?,Are,Are they downhill skiing or cross-country skiing in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000525124.jpg,Are they downhill skiing or cross-country skiing <span style='color:red'>in the background?</span>,Are they downhill skiing or cross-country skiing <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,downhill
COCO_train2014_000000293275,Is this person snowboarding in a competition?,Is this,Is this female person snowboarding in a competition?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000293275.jpg,Is this <span style='color:red'>female</span> person snowboarding in a competition?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> person snowboarding in a competition?,yes
COCO_train2014_000000210378,Is there a motorbike here?,Is there,Is there a black motorbike here?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000210378.jpg,Is there a <span style='color:red'>black</span> motorbike here?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> motorbike here?,yes
COCO_train2014_000000191174,Is there a sink?,Is there,Is there a white sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000191174.jpg,Is there a <span style='color:red'>white</span> sink?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sink?,yes
COCO_train2014_000000311784,Does the pitcher have a wide throwing stance?,Does,Does the orange pitcher have a wide throwing stance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000311784.jpg,Does the <span style='color:red'>orange</span> pitcher have a wide throwing stance?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> pitcher have a wide throwing stance?,yes
COCO_train2014_000000117184,Does the man have facial hair?,Does,Does the man wearing a hat have facial hair?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000117184.jpg,Does the man <span style='color:red'>wearing a hat</span> have facial hair?,Does the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have facial hair?,yes
COCO_train2014_000000228673,Is this room full of tile?,Is this,Is this room full of brown tile?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228673.jpg,Is this room full of <span style='color:red'>brown</span> tile?,Is this room full of <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> tile?,no
COCO_train2014_000000389793,Is there a hole in the vase?,Is there,Is there a hole in the blue vase?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000389793.jpg,Is there a hole in the <span style='color:red'>blue</span> vase?,Is there a hole in the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> vase?,yes
COCO_train2014_000000048199,Is the toilet lid up or down?,Is the,Is the white toilet lid up or down?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000048199.jpg,Is the <span style='color:red'>white</span> toilet lid up or down?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> toilet lid up or down?,up
COCO_train2014_000000297678,Does the tree have foliage?,Does,Does the tree behind the green sign have foliage?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000297678.jpg,Does the <span style='color:red'>green sign</span> have foliage?,Does the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have foliage?,yes
COCO_train2014_000000205354,Does the weather appear warm in this photo?,Does,Does the weather appear warm in this black and white photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000205354.jpg,Does the weather appear warm in this <span style='color:red'>black and white</span> photo?,Does the weather appear warm in this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> photo?,yes
COCO_train2014_000000019926,Are they happy?,Are,Are the people on the couch happy?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000019926.jpg,Are <span style='color:red'>the people on the couch</span> happy?,Are <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> happy?,no
COCO_train2014_000000052611,Is there a toilet?,Is there,Is there a white toilet?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000052611.jpg,Is there a <span style='color:red'>white</span> toilet?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> toilet?,yes
COCO_train2014_000000095020,Is this woman a lawyer?,Is this,Is this woman with green hair a lawyer?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000095020.jpg,Is this woman <span style='color:red'>with green hair</span> a lawyer?,Is this woman <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> a lawyer?,no
COCO_train2014_000000270160,Is the number on the white shirt hand drawn or stitched?,Is the,Is the number on the beige shirt hand drawn or stitched?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000270160.jpg,Is the number on the <span style='color:red'>beige</span> shirt hand drawn or stitched?,Is the number on the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> shirt hand drawn or stitched?,stitched
COCO_train2014_000000034777,Are shadows cast?,Are,Are shadows cast by the elephant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000034777.jpg,Are shadows cast <span style='color:red'>by the elephant?</span>,Are shadows cast <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000124609,Is there snow on the ground?,Is there,Is there white snow on the ground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000124609.jpg,Is there <span style='color:red'>brown</span> snow on the ground?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> snow on the ground?,no
COCO_train2014_000000025820,Is there another sink?,Is there,Is there another beige sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025820.jpg,Is there another <span style='color:red'>beige</span> sink?,Is there another <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> sink?,no
COCO_train2014_000000337201,Are these fruit ripe?,Are,Are these green bananas ripe?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337201.jpg,Are these <span style='color:red'>green bananas</span> ripe?,Are these <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> ripe?,no
COCO_train2014_000000257858,Is the lady indoors or outdoors?,Is the,Is the white lady indoors or outdoors?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000257858.jpg,Is the <span style='color:red'>brown</span> lady indoors or outdoors?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> lady indoors or outdoors?,outdoors
COCO_train2014_000000283122,Is this display inside or outside?,Is this,Is this display of motorcycles inside or outside?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000283122.jpg,Is this display inside <span style='color:red'>a garage?</span>,Is this display inside <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,inside
COCO_train2014_000000484289,Is this person snowboarding?,Is this,Is this person wearing a helmet snowboarding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000484289.jpg,Is this person <span style='color:red'>wearing a helmet</span> snowboarding?,Is this person <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> snowboarding?,no
COCO_train2014_000000199502,Does this appear to be a hotel room?,Does,Does this appear to be a messy hotel room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000199502.jpg,Does this appear to be a <span style='color:red'>messy</span> hotel room?,Does this appear to be a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> hotel room?,yes
COCO_train2014_000000506955,Is there a giraffe in the picture?,Is there,Is there a small giraffe in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000506955.jpg,Is there a <span style='color:red'>small</span> giraffe in the picture?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> giraffe in the picture?,no
COCO_train2014_000000373294,Is there bread crumbs on the macaroni and cheese?,Is there,Is there bread crumbs on the macaroni and cheese on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000373294.jpg,Is there bread crumbs on the macaroni and cheese <span style='color:red'>on the right?</span>,Is there bread crumbs on the macaroni and cheese <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000226011,Does this animal have stripes?,Does,Does the closest zebra have stripes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000226011.jpg,Does <span style='color:red'>the closest zebra</span> have stripes?,Does <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have stripes?,yes
COCO_train2014_000000544601,Is the floor wood?,Is the,Is the kitchen floor wood?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000544601.jpg,Is the <span style='color:red'>kitchen</span> floor wood?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> floor wood?,yes
COCO_train2014_000000544238,Does this woman have light colored eyes?,Does,Does this woman in the baseball helmet have light colored eyes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000544238.jpg,Does this woman <span style='color:red'>in the baseball helmet</span> have light colored eyes?,Does this woman <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> have light colored eyes?,yes
COCO_train2014_000000414887,Is the girl looking at the camera or looking off in the distance?,Is the,Is the smiling girl looking at the camera or looking off in the distance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000414887.jpg,Is the <span style='color:red'>smiling</span> girl looking at the camera or looking off in the distance?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> girl looking at the camera or looking off in the distance?,camera
COCO_train2014_000000383737,Is the weather warm or cool?,Is the,Is the weather on this day warm or cool?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000383737.jpg,Is the weather <span style='color:red'>on this day</span> warm or cool?,Is the weather <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> warm or cool?,warm
COCO_train2014_000000330865,Is there a cliff in front of the skier?,Is there,Is there a large cliff in front of the skier?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000330865.jpg,Is there a <span style='color:red'>large</span> cliff in front of the skier?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> cliff in front of the skier?,yes
COCO_train2014_000000117578,Is this a pizza?,Is this,Is this a cold pizza?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000117578.jpg,Is this a <span style='color:red'>cold</span> pizza?,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> pizza?,yes
