image_id,Original_question,q_type,Mod_qns_Llava,image_url,Modified_question,Mod_qns_textinput,GT_answer
COCO_train2014_000000263784,Is there a hand dryer available?,Is there,Is there a hand dryer available in this public restroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000263784.jpg,Is there a hand dryer available <span style='color:red'>in this public restroom?</span>,Is there a hand dryer available <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000358684,Is this an Australian plane?,Is this,Is this an Australian plane flying in the sky?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000358684.jpg,Is this an Australian plane <span style='color:red'>flying in the sky?</span>,Is this an Australian plane <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000068206,Is there water in the tub?,Is there,Is there any water in the white tub?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000068206.jpg,Is there water in the <span style='color:red'>white</span> tub?,Is there water in the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> tub?,yes
COCO_train2014_000000157634,Is the keyboard new?,Is the,Is this keyboard new?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000157634.jpg,Is <span style='color:red'>this</span> keyboard new?,Is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> keyboard new?,yes
COCO_train2014_000000084956,Is this cow healthy?,Is this,Is this healthy-looking cow?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084956.jpg,Is this <span style='color:red'>healthy-looking</span> cow?,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> cow?,no
COCO_train2014_000000364487,Is there toilet paper in the room?,Is there,Is there toilet paper in this room that overlooks a beautiful view from its window?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000364487.jpg,Is there toilet paper in this room <span style='color:red'>that overlooks a beautiful view from its window?</span>,Is there toilet paper in <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> room <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000479886,Is the large animal the parent of the small ones?,Is the,Is the large adult giraffe the parent of the three smaller juvenile giraffes standing beside it?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000479886.jpg,Is the large <span style='color:red'>adult giraffe</span> the parent of the <span style='color:red'>three smaller juvenile giraffes standing beside it?</span>,Is the large <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the parent of the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000333049,Is the man walking?,Is the,Is the man walking at an indoor skate park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000333049.jpg,Is the man <span style='color:red'>riding a skateboard at an indoor skate park?</span>,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000289677,Is this a healthy meal?,Is this,Is this a healthy and visually appealing meal?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000289677.jpg,Is this a healthy <span style='color:red'>and visually appealing</span> meal?,Is this a healthy <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> meal?,yes
COCO_train2014_000000497807,Is there a creek going through the field?,Is there,Is there a creek going through the field near the park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000497807.jpg,Is there a <span style='color:red'>kite flying over</span> the field <span style='color:red'>near the park?</span>,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the field <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000114978,Is the skier in this picture wearing safety gear?,Is the,Is the skier in this picture wearing safety gear and positioned on a slope?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000114978.jpg,Is the skier in this picture wearing safety gear <span style='color:red'>and positioned on a slope?</span>,Is the skier in this picture wearing safety gear <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000476578,Is there a pool in the picture?,Is there,"Is there a pool in the picture, located to the right?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000476578.jpg,"Is there a pool in the picture, <span style='color:red'>located to the right?</span>","Is there a pool in the picture, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000510718,Is there foil in the refrigerator?,Is there,Is there foil in the refrigerator near box of electronics?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000510718.jpg,Is there foil in the refrigerator <span style='color:red'>near the taped-up box of electronics?</span>,Is there foil in the refrigerator <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000255480,Is there a bear cub nearby?,Is there,Is there a large bear cub nearby?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000255480.jpg,Is there a <span style='color:red'>large</span> bear cub nearby?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> bear cub nearby?,yes
COCO_train2014_000000393292,Is this photo outdoors?,Is this,Is this photo outdoors?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000393292.jpg,Is this photo outdoors?,Is this photo outdoors?,yes
COCO_train2014_000000531027,Is the phone on?,Is the,Is the cell phone in the person's hand?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000531027.jpg,Is the <span style='color:red'>cell</span> phone <span style='color:red'>in the person's hand?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> phone <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000429709,Is there a tree behind the giraffe?,Is there,Is there a tree behind the cow?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000429709.jpg,Is there a tree behind the <span style='color:red'>cow?</span>,Is there a tree behind the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000061219,Is there traffic?,Is there,Is there traffic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000061219.jpg,Is there traffic?,Is there traffic?,no
COCO_train2014_000000295236,Is there any house in the picture?,Is there,"Is there any house in the picture, and if so, where is it located?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000295236.jpg,"Is there any house in the picture, <span style='color:red'>and if so, where is it located?</span>","Is there any house in the picture, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000081768,Is the bus moving?,Is the,Is the bus moving down the busy city street?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000081768.jpg,Is the bus moving <span style='color:red'>down the busy city street?</span>,Is the bus moving <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000425590,Is this a barn house?,Is this,Is this a train in motion?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000425590.jpg,Is this a <span style='color:red'>train in motion?</span>,Is this a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000337728,Is there any way to salvage this rusted out tanker?,Is there,"Is there any way to salvage this large, rusted out tanker?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337728.jpg,"Is there any way to salvage this <span style='color:red'>large,</span> rusted out tanker?",Is there any way to salvage this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> rusted out tanker?,no
COCO_train2014_000000183212,Is there pepper within reach of these people?,Is there,Is there pepper within reach of these people?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000183212.jpg,Is there pepper within reach of these people?,Is there pepper within reach of these people?,no
COCO_train2014_000000549836,Is there flowers here?,Is there,Is there flowers in the vase here?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000549836.jpg,Is there flowers <span style='color:red'>in the vase</span> here?,Is there flowers <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> here?,yes
COCO_train2014_000000027105,Is there somewhere to sit in this photo?,Is there,Is there a comfortable place to sit in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000027105.jpg,Is there <span style='color:red'>a comfortable place</span> to sit in this photo?,Is there <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> to sit in this photo?,yes
COCO_train2014_000000162300,Is the cat preparing to jump?,Is the,Is the cat preparing to jump while sitting in the bathroom sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000162300.jpg,"<span style='color:red'>In the image,</span> is the cat <span style='color:red'>sitting inside of the bathroom sink?</span>",<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> is the cat <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000355748,Is the bed made?,Is the,Is the bed in the room neatly made?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000355748.jpg,Is the bed <span style='color:red'>in the room neatly</span> made?,Is the bed <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> made?,no
COCO_train2014_000000335940,Is the cat sleeping?,Is the,Is the gray and white cat sleeping on a table near a computer?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000335940.jpg,Is the <span style='color:red'>gray and white</span> cat sleeping <span style='color:red'>on a table near a computer?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> cat sleeping <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000391084,Is there anything inside of the stove?,Is there,Is there anything inside of the silver stove?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000391084.jpg,Is there anything inside of the <span style='color:red'>silver</span> stove?,Is there anything inside of the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> stove?,yes
COCO_train2014_000000516636,Is the faucet turned on?,Is the,Is the faucet turned on in this image?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000516636.jpg,Is the faucet turned on <span style='color:red'>in this image?</span>,Is the faucet turned on <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000401183,Is there any wind blowing?,Is there,Is there any visible wind blowing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000401183.jpg,Is there any <span style='color:red'>visible</span> wind blowing?,Is there any <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> wind blowing?,no
COCO_train2014_000000125247,Is the glass door open?,Is the,Is the open glass door clean?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000125247.jpg,Is the <span style='color:red'>open</span> glass door <span style='color:red'>clean?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> glass door <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000477031,Is there anything alive in this photo?,Is there,Is there anything alive in this photo such as an animal or a person?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000477031.jpg,"Is there anything alive in this photo, <span style='color:red'>particularly a teddy bear?</span>","Is there anything alive in this photo, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000392964,Is the AC on?,Is the,"Is the AC on, as seen from inside the car through the rearview mirror?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000392964.jpg,"Is the AC on, <span style='color:red'>as seen from inside the car through the rearview mirror?</span>","Is the AC on, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000538523,Is there a bike?,Is there,Is there a bike near the skateboarder?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000538523.jpg,Is there a bike <span style='color:red'>near the skateboarder?</span>,Is there a bike <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000309096,Is the child wearing a bib?,Is the,Is the young boy wearing a checkered bib?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000309096.jpg,Is the <span style='color:red'>young boy</span> wearing a <span style='color:red'>checkered</span> bib?,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> wearing a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> bib?,no
COCO_train2014_000000100084,Is there a statue?,Is there,Is there a statue in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000100084.jpg,Is there a statue <span style='color:red'>in the background?</span>,Is there a statue <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000005434,Is the puppy hiding his favorite toy behind the planter?,Is the,Is the puppy hiding his favorite toy behind the planter?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000005434.jpg,Is the puppy hiding his favorite toy behind the planter?,Is the puppy hiding his favorite toy behind the planter?,no
COCO_train2014_000000425837,Is this edible object high in carbohydrates?,Is this,"Is this edible object, a large pizza high in carbohydrates?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000425837.jpg,"Is this edible object, <span style='color:red'>a large pizza</span> high in carbohydrates?","Is this edible object, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> high in carbohydrates?",yes
COCO_train2014_000000110873,Is there a bag in the trash canister?,Is there,Is there a bag in the trash canister?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000110873.jpg,Is there a bag in the trash canister?,Is there a bag in the trash canister?,yes
COCO_train2014_000000575641,Is the dark guy wearing shades?,Is the,Is the dark guy wearing sunglasses?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000575641.jpg,Is the dark guy wearing <span style='color:red'>sunglasses?</span>,Is the dark guy wearing <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000440291,Is there a hill in the background?,Is there,Is there a tall hill in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000440291.jpg,Is there a <span style='color:red'>tall</span> hill in the background?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> hill in the background?,yes
COCO_train2014_000000156652,Is the picture in color?,Is the,Is the picture in color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000156652.jpg,Is the picture in color?,Is the picture in color?,no
COCO_train2014_000000268042,Is the pst smalling?,Is the,Is the pst leaning against the pole?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000268042.jpg,Is the pst <span style='color:red'>leaning against the pole?</span>,Is the pst <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000166813,Is there a reflection in the image?,Is there,"Is there a reflection in the image, and if so, where is it located?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000166813.jpg,"Is there a reflection in the image, <span style='color:red'>and if so, where is it located?</span>","Is there a reflection in the image, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000523870,Is there a car on the street?,Is there,Is there a car in the city street near the crossing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000523870.jpg,Is there a <span style='color:red'>traffic light in</span> the <span style='color:red'>foreground of the city</span> street?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> street?,no
COCO_train2014_000000331409,Is there alcohol in the photo?,Is there,"Is there alcohol in the photo, specifically at this wine tasting event?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000331409.jpg,"Is there alcohol in the photo, <span style='color:red'>specifically at this wine tasting event?</span>","Is there alcohol in the photo, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000399097,Is the ground painted at all?,Is the,"Is the ground painted at all, in this busy town street?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000399097.jpg,"Is the ground painted at all, <span style='color:red'>in this busy town street?</span>","Is the ground painted at all, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000036059,Is there a utensil in this photo?,Is there,"Is there a utensil in this photo, positioned on top of the apple?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000036059.jpg,"Is there a utensil in this photo, <span style='color:red'>positioned on top of the apple?</span>","Is there a utensil in this photo, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000426513,Is there red in the picture?,Is there,In which direction is the pizza placed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426513.jpg,<span style='color:red'>In which direction</span> is <span style='color:red'></span> the <span style='color:red'>pizza placed?</span>,<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000130876,Is this meal being served at a restaurant?,Is this,"Is this meal being served at a restaurant, placed on an outdoor dining table?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000130876.jpg,"Is this meal being served at a restaurant, <span style='color:red'>placed on an outdoor dining table?</span>","Is this meal being served at a restaurant, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000378659,Is this one bench or multiple benches?,Is this,Is this one bench or multiple benches in the park?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000378659.jpg,Is this one bench or multiple benches <span style='color:red'>in the park?</span>,Is this one bench or multiple benches <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,multiple
COCO_train2014_000000311641,Is this entertaining?,Is this,Is this plane flying through an entertaining cloudy sky?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000311641.jpg,Is this <span style='color:red'>plane flying through an</span> entertaining <span style='color:red'>cloudy sky?</span>,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> entertaining <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000046265,Is this in a city setting?,Is this,"Is this glove in a city setting, and can you see a baseball in it?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000046265.jpg,"Is this <span style='color:red'>glove</span> in a city setting, <span style='color:red'>and can you see a baseball in it?</span>","Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in a city setting, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000134008,Is the train making smoke?,Is the,Is the train making smoke?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000134008.jpg,Is the train making smoke?,Is the train making smoke?,no
COCO_train2014_000000248925,Is the surfer competing?,Is the,"Is the surfer, who is performing a trick on his surfboard, competing?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000248925.jpg,"Is the surfer, <span style='color:red'>who is performing a trick on his surfboard,</span> competing?","Is the surfer, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> competing?",yes
COCO_train2014_000000325863,Is the woman facing the camera?,Is the,"In the image, are there any bears and is the woman facing the camera?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000325863.jpg,"<span style='color:red'>In the image, are there any bears and</span> is the woman facing the camera?",<input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> is the woman facing the camera?,no
COCO_train2014_000000420051,Is the person in blue playing?,Is the,Is the tennis player in blue playing a match on clay court?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420051.jpg,Is the <span style='color:red'>tennis player</span> in blue playing <span style='color:red'>a match on clay court?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> in blue playing <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000119108,Is this horse stretching?,Is this,Is this horse stretching in the corral?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000119108.jpg,Is this horse stretching <span style='color:red'>in the corral?</span>,Is this horse stretching <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000519617,Is the carrot too big?,Is the,Is the carrot too big in comparison to the snowman's body?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000519617.jpg,Is the carrot too big <span style='color:red'>in comparison to the snowman's body?</span>,Is the carrot too big <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000315053,Is there sausage on the pizza?,Is there,Is there sausage on top of the pizza?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000315053.jpg,Is there sausage on <span style='color:red'>top of</span> the pizza?,Is there sausage on <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the pizza?,no
COCO_train2014_000000211160,Is the man wearing a brown tee shirt?,Is the,Is the man wearing a brown t-shirt and in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000211160.jpg,Is the man wearing a brown <span style='color:red'>t-shirt and in the background?</span>,Is the man wearing a brown <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000517696,Is there a screen?,Is there,Is the screen on the window?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000517696.jpg,Is <span style='color:red'>the</span> screen <span style='color:red'>on the window?</span>,Is <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> screen <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000305235,Is there a boat next to the elephants?,Is there,Is there a boat next to the elephants in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000305235.jpg,Is there a boat next to the elephants <span style='color:red'>in the background?</span>,Is there a boat next to the elephants <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000264723,Is there a windmill in the field?,Is there,Is there a large windmill in the field?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000264723.jpg,Is there a <span style='color:red'>large</span> windmill in the field?,Is there a <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> windmill in the field?,yes
COCO_train2014_000000559876,Is this guy fishing?,Is this,Is this guy fishing in the ocean?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000559876.jpg,Is this guy fishing <span style='color:red'>in the ocean?</span>,Is this guy fishing <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000561152,Is this someone's home?,Is this,Is this someone's home with children and elephant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000561152.jpg,Is this <span style='color:red'>someone's zoo exhibit?</span>,Is this <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,no
COCO_train2014_000000220053,Is the dog looking at the camera?,Is the,Is the cat staring at the camera in the living room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000220053.jpg,Is the <span style='color:red'>cat staring</span> at the camera <span style='color:red'>in the living room?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> at the camera <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000475451,Is the grass tall?,Is the,Is the fire hydrant in the foreground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000475451.jpg,Is the <span style='color:red'>fire hydrant in the foreground?</span>,Is the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
COCO_train2014_000000038899,Is the man running for the frisbee?,Is the,Is the man in the center of the field running for the frisbee?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000038899.jpg,Is the man <span style='color:red'>in the center of the field</span> running for the frisbee?,Is the man <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> running for the frisbee?,yes
COCO_train2014_000000385844,Is the toilet lid up or down?,Is the,Is the toilet lid up or down in this bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000385844.jpg,Is the toilet lid up or down <span style='color:red'>in this bathroom?</span>,Is the toilet lid up or down <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,up
COCO_train2014_000000011720,Is this worker multi-tasking?,Is this,"Is this worker, who is multi-tasking, wearing a shirt with a noticeable graphic on it?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000011720.jpg,"Is this worker, <span style='color:red'>who is multi-tasking, wearing a shirt with a noticeable graphic on it?</span>","Is this worker, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000019471,Is this an old picture?,Is this,"Is this an old, blurry picture of a horse and buggy in the snow?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000019471.jpg,"Is this an old, <span style='color:red'>blurry</span> picture <span style='color:red'>of a horse and buggy in the snow?</span>","Is this an old, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> picture <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",no
COCO_train2014_000000120176,Is there a pickle on the plate?,Is there,Is there a pickle on top of the plate? ,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000120176.jpg,Is there a pickle on <span style='color:red'>top of</span> the plate?,Is there a pickle on <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' /> the plate?,no
COCO_train2014_000000354570,Is this an edible item?,Is this,"Is this an edible item, served on a light-colored paper?",https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000354570.jpg,"Is this an edible item, <span style='color:red'>served on a white plate?</span>","Is this an edible item, <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />",yes
COCO_train2014_000000067440,Is the batter in the batters box?,Is the,Is the batter in the on-deck circle?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000067440.jpg,Is the batter in the <span style='color:red'>on-deck circle?</span>,Is the batter in the <input type='text' name='mod_replacement' placeholder='...' style='width: 80px; display:inline;' />,yes
