image_id,Original_question,q_type,Mod_qns_GPT4o,image_url
COCO_train2014_000000233614,Is there a microwave oven?,Is there,Is there a microwave oven near the refrigerator?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000233614.jpg
COCO_train2014_000000108154,Are these people at a zoo?,Are,Are these people near the giraffes at a zoo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000108154.jpg
COCO_train2014_000000075927,Does this look like a dangerous day to fly?,Does,Does this look like a dangerous day to fly for the plane in the center?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000075927.jpg
COCO_train2014_000000231684,Are these airplane windows?,Are,Are these large airplane windows?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231684.jpg
COCO_train2014_000000249151,Is this a big celebration?,Is this,Is this a big celebration on the table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000249151.jpg
COCO_train2014_000000312946,Are the animals looking in the same direction?,Are,Are the black animals looking in the same direction?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000312946.jpg
COCO_train2014_000000086679,Are both men running?,Are,Are both men on the field running?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000086679.jpg
COCO_train2014_000000156171,Is the dog looking out of a car window?,Is the,Is the brown dog looking out of a car window?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000156171.jpg
COCO_train2014_000000480023,Does the picture portray a whole or partial sandwich?,Does,Does the picture portray a whole or partial toasted sandwich?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000480023.jpg
COCO_train2014_000000491182,Are any of the clocks telling the right time?,Are,Are any of the colorful clocks telling the right time?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000491182.jpg
COCO_train2014_000000345014,Is the train producing steam or smoke?,Is the,Is the blue train producing steam or smoke?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000345014.jpg
COCO_train2014_000000175126,Are there shadows?,Are,Are there shadows on the ground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000175126.jpg
COCO_train2014_000000579414,Is the batter left handed?,Is the,Is the batter in the foreground left handed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000579414.jpg
COCO_train2014_000000326477,Are all three pieces of food classified as fruit?,Are,Are all three large pieces of food classified as fruit?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000326477.jpg
COCO_train2014_000000459104,Is this plane taking off or landing?,Is this,Is this large plane taking off or landing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000459104.jpg
COCO_train2014_000000422461,Do you see a mug on the table?,Do,Do you see a mug on the right of the table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000422461.jpg
COCO_train2014_000000215840,Are these spring flowers?,Are,Are these purple spring flowers?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000215840.jpg
COCO_train2014_000000109580,Are the eyes closed on the man with a tie?,Are,Are the eyes closed on the sleeping man with a tie?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000109580.jpg
COCO_train2014_000000077912,Is this boat stuck in mud?,Is this,Is this large boat stuck in mud?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000077912.jpg
COCO_train2014_000000102460,Is there water?,Is there,Is there clear water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000102460.jpg
COCO_train2014_000000418989,Is the large giraffe a male?,Is the,Is the large giraffe on the right a male?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000418989.jpg
COCO_train2014_000000144925,Is this a classical Greek building?,Is this,Is this a tall classical Greek building?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000144925.jpg
COCO_train2014_000000025388,Are there flowers in the vase?,Are,Are there flowers in the glass vase?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025388.jpg
COCO_train2014_000000525124,Are they downhill skiing or cross-country skiing?,Are,Are they downhill skiing in the distance or cross-country skiing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000525124.jpg
COCO_train2014_000000293275,Is this person snowboarding in a competition?,Is this,Is this person snowboarding in a high competition?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000293275.jpg
COCO_train2014_000000210378,Is there a motorbike here?,Is there,Is there a parked motorbike here?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000210378.jpg
COCO_train2014_000000191174,Is there a sink?,Is there,Is there a black sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000191174.jpg
COCO_train2014_000000311784,Does the pitcher have a wide throwing stance?,Does,Does the pitcher in the red shirt have a wide throwing stance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000311784.jpg
COCO_train2014_000000117184,Does the man have facial hair?,Does,Does the man next to the stove have facial hair?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000117184.jpg
COCO_train2014_000000228673,Is this room full of tile?,Is this,Is this small room full of tile?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228673.jpg
COCO_train2014_000000389793,Is there a hole in the vase?,Is there,Is there a hole in the blue vase?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000389793.jpg
COCO_train2014_000000048199,Is the toilet lid up or down?,Is the,Is the toilet lid on the left up or down?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000048199.jpg
COCO_train2014_000000297678,Does the tree have foliage?,Does,Does the tree with the stop sign have foliage?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000297678.jpg
COCO_train2014_000000205354,Does the weather appear warm in this photo?,Does,Does the weather appear warm in this sunny photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000205354.jpg
COCO_train2014_000000019926,Are they happy?,Are,Are the people on the couch happy?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000019926.jpg
COCO_train2014_000000052611,Is there a toilet?,Is there,Is there a toilet on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000052611.jpg
COCO_train2014_000000095020,Is this woman a lawyer?,Is this,Is this woman in the red chair a lawyer?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000095020.jpg
COCO_train2014_000000270160,Is the number on the white shirt hand drawn or stitched?,Is the,Is the number on the white shirt with the cap hand drawn or stitched?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000270160.jpg
COCO_train2014_000000034777,Are shadows cast?,Are,Are large shadows cast?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000034777.jpg
COCO_train2014_000000124609,Is there snow on the ground?,Is there,Is there snow on the distant ground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000124609.jpg
COCO_train2014_000000025820,Is there another sink?,Is there,Is there another small sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025820.jpg
COCO_train2014_000000337201,Are these fruit ripe?,Are,Are these green fruit ripe?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337201.jpg
COCO_train2014_000000257858,Is the lady indoors or outdoors?,Is the,Is the lady in the purple dress indoors or outdoors?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000257858.jpg
COCO_train2014_000000283122,Is this display inside or outside?,Is this,Is this indoor display inside or outside?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000283122.jpg
COCO_train2014_000000484289,Is this person snowboarding?,Is this,Is this person on the right snowboarding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000484289.jpg
COCO_train2014_000000199502,Does this appear to be a hotel room?,Does,Does this spacious room appear to be a hotel room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000199502.jpg
COCO_train2014_000000506955,Is there a giraffe in the picture?,Is there,Is there a giraffe in the picture on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000506955.jpg
COCO_train2014_000000373294,Is there bread crumbs on the macaroni and cheese?,Is there,Is there bread crumbs on the macaroni and cheese at the bottom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000373294.jpg
COCO_train2014_000000226011,Does this animal have stripes?,Does,Does this animal on the right have stripes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000226011.jpg
COCO_train2014_000000544601,Is the floor wood?,Is the,Is the shiny floor wood?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000544601.jpg
COCO_train2014_000000544238,Does this woman have light colored eyes?,Does,Does this woman in the blue uniform have light colored eyes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000544238.jpg
COCO_train2014_000000414887,Is the girl looking at the camera or looking off in the distance?,Is the,Is the girl with black hair looking at the camera or looking off in the distance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000414887.jpg
COCO_train2014_000000383737,Is the weather warm or cool?,Is the,Is the sunny weather warm or cool?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000383737.jpg
COCO_train2014_000000330865,Is there a cliff in front of the skier?,Is there,Is there a cliff in front of the skier on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000330865.jpg
COCO_train2014_000000117578,Is this a pizza?,Is this,Is this a large pizza?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000117578.jpg
COCO_train2014_000000195992,Are there people in this scene?,Are,Are there people on the left in this scene?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000195992.jpg
COCO_train2014_000000415447,Are there stickers?,Are,Are there large stickers?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000415447.jpg
COCO_train2014_000000277857,Are they eating inside?,Are,Are they eating inside near the window?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000277857.jpg
COCO_train2014_000000291475,Does the stand sell food also?,Does,Does the stand sell food on the left also?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000291475.jpg
COCO_train2014_000000169203,Does one of the giraffes have its head turned up?,Does,Does one of the tall giraffes have its head turned up?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000169203.jpg
COCO_train2014_000000161098,Is this a bathroom?,Is this,Is this a small bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000161098.jpg
COCO_train2014_000000324831,Is this airport full?,Is this,Is this large airport full?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000324831.jpg
COCO_train2014_000000263784,Is there a hand dryer available?,Is there,Is there a hand dryer on the right available?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000263784.jpg
COCO_train2014_000000358684,Is this an Australian plane?,Is this,Is this a large Australian plane?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000358684.jpg
COCO_train2014_000000068206,Is there water in the tub?,Is there,Is there water in the foggy tub?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000068206.jpg
COCO_train2014_000000348902,Is the windowsill made out of wood?,Is the,Is the green windowsill made out of wood?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000348902.jpg
COCO_train2014_000000157634,Is the keyboard new?,Is the,Is the dusty keyboard new?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000157634.jpg
COCO_train2014_000000084956,Is this cow healthy?,Is this,Is this cow near the boat healthy?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084956.jpg
COCO_train2014_000000364487,Is there toilet paper in the room?,Is there,Is there toilet paper in the room by the sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000364487.jpg
COCO_train2014_000000479886,Is the large animal the parent of the small ones?,Is the,Is the large animal on the right the parent of the small ones?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000479886.jpg
COCO_train2014_000000288504,Does the smaller vase have the plant in it?,Does,Does the smaller vase on the left have the plant in it?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000288504.jpg
COCO_train2014_000000503935,Do donuts taste sweet?,Do,Do green donuts taste sweet?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000503935.jpg
COCO_train2014_000000333049,Is the man walking?,Is the,Is the man on the skateboard walking?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000333049.jpg
COCO_train2014_000000289677,Is this a healthy meal?,Is this,Is this a healthy colorful meal?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000289677.jpg
COCO_train2014_000000563798,Does it look like it is going to rain?,Does,Does it look like it is going to rain above the train?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000563798.jpg
COCO_train2014_000000497807,Is there a creek going through the field?,Is there,Is there a wide creek going through the field?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000497807.jpg
COCO_train2014_000000316075,Are there fonts in this picture?,Are,Are there large fonts in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000316075.jpg
COCO_train2014_000000114978,Is the skier in this picture wearing safety gear?,Is the,Is the skier in this picture wearing red safety gear?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000114978.jpg
COCO_train2014_000000482381,Are there enough chairs for a family with octuplets?,Are,Are there enough wooden chairs for a family with octuplets?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000482381.jpg
COCO_train2014_000000365873,Is the baby wearing shoes?,Is the,Is the baby wearing red shoes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000365873.jpg
COCO_train2014_000000476578,Is there a pool in the picture?,Is there,Is there a large pool in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000476578.jpg
COCO_train2014_000000510718,Is there foil in the refrigerator?,Is there,Is there shiny foil in the refrigerator?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000510718.jpg
COCO_train2014_000000255480,Is there a bear cub nearby?,Is there,Is there a brown bear cub nearby?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000255480.jpg
COCO_train2014_000000433691,Does the woman have a ponytail?,Does,Does the woman in the pink shirt have a ponytail?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000433691.jpg
COCO_train2014_000000393292,Is this photo outdoors?,Is this,Is this sunny photo outdoors?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000393292.jpg
COCO_train2014_000000495247,Do the plan on sharing?,Do,Do the people on the left plan on sharing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000495247.jpg
COCO_train2014_000000531027,Is the phone on?,Is the,Is the phone in his hands on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000531027.jpg
COCO_train2014_000000424300,Does this photograph reveal an emotional sensibility?,Does,Does this colorful photograph reveal an emotional sensibility?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000424300.jpg
COCO_train2014_000000429709,Is there a tree behind the giraffe?,Is there,Is there a tree behind the giraffe on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000429709.jpg
COCO_train2014_000000061219,Is there traffic?,Is there,Is there heavy traffic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000061219.jpg
COCO_train2014_000000240196,Does the coat fit properly?,Does,Does the black coat fit properly?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000240196.jpg
COCO_train2014_000000295236,Is there any house in the picture?,Is there,Is there any house on the right in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000295236.jpg
COCO_train2014_000000081768,Is the bus moving?,Is the,Is the red bus moving?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000081768.jpg
COCO_train2014_000000438102,Does the bridge have train tracks on it?,Does,Does the tall bridge have train tracks on it?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000438102.jpg
COCO_train2014_000000425590,Is this a barn house?,Is this,Is this a large barn house?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000425590.jpg
COCO_train2014_000000337728,Is there any way to salvage this rusted out tanker?,Is there,Is there any way to salvage this rusted out tanker on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337728.jpg
COCO_train2014_000000183212,Is there pepper within reach of these people?,Is there,Is there pepper within reach of these smiling people?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000183212.jpg
COCO_train2014_000000549836,Is there flowers here?,Is there,Is there flowers on the left here?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000549836.jpg
COCO_train2014_000000027105,Is there somewhere to sit in this photo?,Is there,Is there a wooden place to sit in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000027105.jpg
COCO_train2014_000000056971,Are there any baby sheep?,Are,Are there any brown baby sheep?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000056971.jpg
COCO_train2014_000000162300,Is the cat preparing to jump?,Is the,Is the black and white cat preparing to jump?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000162300.jpg
COCO_train2014_000000355748,Is the bed made?,Is the,Is the red bed made?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000355748.jpg
COCO_train2014_000000366712,Do you see grass anywhere?,Do,Do you see green grass anywhere?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000366712.jpg
COCO_train2014_000000028037,Is the bench empty?,Is the,Is the wooden bench empty?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000028037.jpg
COCO_train2014_000000335940,Is the cat sleeping?,Is the,Is the fluffy cat sleeping?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000335940.jpg
COCO_train2014_000000391084,Is there anything inside of the stove?,Is there,Is there anything inside of the shiny stove?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000391084.jpg
COCO_train2014_000000006229,Are these dogs all the same color?,Are,Are these large dogs all the same color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000006229.jpg
COCO_train2014_000000236632,Are all these animals part of the same herd?,Are,Are all these tall animals part of the same herd?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000236632.jpg
COCO_train2014_000000516636,Is the faucet turned on?,Is the,Is the shiny faucet turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000516636.jpg
COCO_train2014_000000200369,Are people waiting for the train?,Are,Are people waiting for the train on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000200369.jpg
COCO_train2014_000000401183,Is there any wind blowing?,Is there,Is there any wind blowing near the picnic table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000401183.jpg
COCO_train2014_000000125247,Is the glass door open?,Is the,Is the glass door on the right open?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000125247.jpg
COCO_train2014_000000477031,Is there anything alive in this photo?,Is there,Is there anything alive near the window in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000477031.jpg
COCO_train2014_000000392964,Is the AC on?,Is the,Is the AC on in the parked car?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000392964.jpg
COCO_train2014_000000209132,Does the man have any gray hair?,Does,Does the man on the left have any gray hair?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000209132.jpg
COCO_train2014_000000538523,Is there a bike?,Is there,Is there a bike on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000538523.jpg
COCO_train2014_000000309096,Is the child wearing a bib?,Is the,Is the smiling child wearing a bib?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000309096.jpg
COCO_train2014_000000517451,Are the towels the same color as the toilet?,Are,Are the towels the same color as the toilet on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000517451.jpg
COCO_train2014_000000086208,Is this person hungry?,Is this,Is this person on the right hungry?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000086208.jpg
COCO_train2014_000000100084,Is there a statue?,Is there,Is there a tall statue?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000100084.jpg
COCO_train2014_000000005434,Is the puppy hiding his favorite toy behind the planter?,Is the,Is the puppy with curly fur hiding his favorite toy behind the planter?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000005434.jpg
COCO_train2014_000000425837,Is this edible object high in carbohydrates?,Is this,Is this cheesy edible object high in carbohydrates?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000425837.jpg
COCO_train2014_000000110873,Is there a bag in the trash canister?,Is there,Is there a red bag in the trash canister?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000110873.jpg
COCO_train2014_000000575641,Is the dark guy wearing shades?,Is the,Is the dark guy on the left wearing shades?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000575641.jpg
COCO_train2014_000000148295,Does the elephant recognize the man?,Does,Does the elephant in the background recognize the man?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000148295.jpg
COCO_train2014_000000440291,Is there a hill in the background?,Is there,Is there a green hill in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000440291.jpg
COCO_train2014_000000156652,Is the picture in color?,Is the,Is the black-and-white picture in color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000156652.jpg
COCO_train2014_000000426758,Is the grass green?,Is the,Is the grass near the stop sign green?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426758.jpg
COCO_train2014_000000268042,Is the pst smalling?,Is the,Is the leaning post small?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000268042.jpg
COCO_train2014_000000166813,Is there a reflection in the image?,Is there,Is there a reflection in the image on the left?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000166813.jpg
COCO_train2014_000000523870,Is there a car on the street?,Is there,Is there a red car on the street?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000523870.jpg
COCO_train2014_000000331409,Is there alcohol in the photo?,Is there,Is there alcohol on the right in the photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000331409.jpg
COCO_train2014_000000399097,Is the ground painted at all?,Is the,Is the cobblestone ground painted at all?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000399097.jpg
COCO_train2014_000000036059,Is there a utensil in this photo?,Is there,Is there a utensil next to the apple in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000036059.jpg
COCO_train2014_000000426513,Is there red in the picture?,Is there,Is there red pizza in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426513.jpg
COCO_train2014_000000130876,Is this meal being served at a restaurant?,Is this,Is this meal on the table being served at a restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000130876.jpg
COCO_train2014_000000378659,Is this one bench or multiple benches?,Is this,Is this one wooden bench or multiple benches?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000378659.jpg
COCO_train2014_000000311641,Is this entertaining?,Is this,Is this entertaining airplane high in the sky?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000311641.jpg
COCO_train2014_000000046265,Is this in a city setting?,Is this,Is this in a busy city setting?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000046265.jpg
COCO_train2014_000000369736,Is this a zoo?,Is this,Is this a small zoo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000369736.jpg
COCO_train2014_000000041729,Are the calculators turned on?,Are,Are the white calculators turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000041729.jpg
COCO_train2014_000000134008,Is the train making smoke?,Is the,Is the train on the left making smoke?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000134008.jpg
COCO_train2014_000000248925,Is the surfer competing?,Is the,Is the surfer in the yellow outfit competing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000248925.jpg
COCO_train2014_000000325863,Is the woman facing the camera?,Is the,Is the woman in the green jacket facing the camera?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000325863.jpg
COCO_train2014_000000040129,Are there orange cones?,Are,Are there large orange cones?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000040129.jpg
COCO_train2014_000000420051,Is the person in blue playing?,Is the,Is the person in blue on the left playing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420051.jpg
COCO_train2014_000000119108,Is this horse stretching?,Is this,Is this white horse stretching?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000119108.jpg
COCO_train2014_000000519617,Is the carrot too big?,Is the,Is the orange carrot too big?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000519617.jpg
COCO_train2014_000000459942,Does the elephant have tusks?,Does,Does the large elephant have tusks?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000459942.jpg
COCO_train2014_000000411475,Does the bear look dangerous?,Does,Does the tall bear look dangerous?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000411475.jpg
