image_id,question,q_type,Mod_qns_Claude,image_url
COCO_train2014_000000108154,Are these people at a zoo?,Are,Are these people at an urban zoo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000108154.jpg
COCO_train2014_000000075927,Does this look like a dangerous day to fly?,Does,Does this look like a dangerous day to fly small propeller aircraft?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000075927.jpg
COCO_train2014_000000231684,Are these airplane windows?,Are,Are these rectangular airplane windows?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000231684.jpg
COCO_train2014_000000249151,Is this a big celebration?,Is this,Is this a big outdoor celebration?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000249151.jpg
COCO_train2014_000000312946,Are the animals looking in the same direction?,Are,Are the black animals looking in the same direction?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000312946.jpg
COCO_train2014_000000086679,Are both men running?,Are,Are both men in white uniforms running?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000086679.jpg
COCO_train2014_000000156171,Is the dog looking out of a car window?,Is the,Is the brown dog looking out of a car window?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000156171.jpg
COCO_train2014_000000480023,Does the picture portray a whole or partial sandwich?,Does,Does the picture portray a whole or partial hot dog sandwich?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000480023.jpg
COCO_train2014_000000491182,Are any of the clocks telling the right time?,Are,Are any of the round clocks telling the right time?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000491182.jpg
COCO_train2014_000000345014,Is the train producing steam or smoke?,Is the,Is the black and yellow train producing steam or smoke?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000345014.jpg
COCO_train2014_000000175126,Are there shadows?,Are,Are there dark shadows?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000175126.jpg
COCO_train2014_000000579414,Is the batter left handed?,Is the,Is the batter in the black uniform left handed?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000579414.jpg
COCO_train2014_000000326477,Are all three pieces of food classified as fruit?,Are,Are all three pieces of food in the bowl classified as fruit?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000326477.jpg
COCO_train2014_000000459104,Is this plane taking off or landing?,Is this,Is this plane near the clouds taking off or landing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000459104.jpg
COCO_train2014_000000422461,Do you see a mug on the table?,Do,Do you see a colorful mug on the table?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000422461.jpg
COCO_train2014_000000215840,Are these spring flowers?,Are,Are these purple flowers spring flowers?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000215840.jpg
COCO_train2014_000000109580,Are the eyes closed on the man with a tie?,Are,Are the eyes closed on the man with a salmon tie?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000109580.jpg
COCO_train2014_000000077912,Is this boat stuck in mud?,Is this,Is this white boat stuck in mud?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000077912.jpg
COCO_train2014_000000102460,Is there water?,Is there,Is there clear water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000102460.jpg
COCO_train2014_000000418989,Is the large giraffe a male?,Is the,Is the large giraffe in the background a male?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000418989.jpg
COCO_train2014_000000144925,Is this a classical Greek building?,Is this,Is this a classical Greek building at the intersection?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000144925.jpg
COCO_train2014_000000025388,Are there flowers in the vase?,Are,Are there flowers in the blue vase?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025388.jpg
COCO_train2014_000000525124,Are they downhill skiing or cross-country skiing?,Are,Are they downhill skiing or cross-country skiing in the morning?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000525124.jpg
COCO_train2014_000000293275,Is this person snowboarding in a competition?,Is this,Is this person in the teal jacket snowboarding in a competition?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000293275.jpg
COCO_train2014_000000210378,Is there a motorbike here?,Is there,Is there a red motorbike here?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000210378.jpg
COCO_train2014_000000191174,Is there a sink?,Is there,Is there a white sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000191174.jpg
COCO_train2014_000000311784,Does the pitcher have a wide throwing stance?,Does,Does the left-handed pitcher have a wide throwing stance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000311784.jpg
COCO_train2014_000000117184,Does the man have facial hair?,Does,Does the man in the kitchen have facial hair?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000117184.jpg
COCO_train2014_000000228673,Is this room full of tile?,Is this,Is this room near the doorway full of tile?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000228673.jpg
COCO_train2014_000000389793,Is there a hole in the vase?,Is there,Is there a hole in the blue vase?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000389793.jpg
COCO_train2014_000000048199,Is the toilet lid up or down?,Is the,Is the white toilet lid up or down?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000048199.jpg
COCO_train2014_000000297678,Does the tree have foliage?,Does,Does the tree in the background have foliage?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000297678.jpg
COCO_train2014_000000205354,Does the weather appear warm in this photo?,Does,Does the weather appear warm in this black and white photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000205354.jpg
COCO_train2014_000000019926,Are they happy?,Are,Are they happy in the living room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000019926.jpg
COCO_train2014_000000052611,Is there a toilet?,Is there,Is there a white toilet?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000052611.jpg
COCO_train2014_000000095020,Is this woman a lawyer?,Is this,Is this woman with green hair a lawyer?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000095020.jpg
COCO_train2014_000000270160,Is the number on the white shirt hand drawn or stitched?,Is the,Is the number on the white baseball shirt hand drawn or stitched?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000270160.jpg
COCO_train2014_000000034777,Are shadows cast?,Are,Are dark shadows cast?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000034777.jpg
COCO_train2014_000000124609,Is there snow on the ground?,Is there,Is there visible snow on the ground?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000124609.jpg
COCO_train2014_000000025820,Is there another sink?,Is there,Is there another white sink?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000025820.jpg
COCO_train2014_000000337201,Are these fruit ripe?,Are,Are these yellow fruit ripe?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337201.jpg
COCO_train2014_000000257858,Is the lady indoors or outdoors?,Is the,Is the lady in the purple dress indoors or outdoors?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000257858.jpg
COCO_train2014_000000283122,Is this display inside or outside?,Is this,Is this neon display inside or outside?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000283122.jpg
COCO_train2014_000000484289,Is this person snowboarding?,Is this,Is this person in the park snowboarding?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000484289.jpg
COCO_train2014_000000199502,Does this appear to be a hotel room?,Does,Does this appear to be a beachside hotel room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000199502.jpg
COCO_train2014_000000506955,Is there a giraffe in the picture?,Is there,Is there a spotted giraffe in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000506955.jpg
COCO_train2014_000000373294,Is there bread crumbs on the macaroni and cheese?,Is there,Is there bread crumbs on the macaroni and cheese in the brown bowl?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000373294.jpg
COCO_train2014_000000226011,Does this animal have stripes?,Does,Does this animal in the foreground have stripes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000226011.jpg
COCO_train2014_000000544601,Is the floor wood?,Is the,Is the kitchen floor wood?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000544601.jpg
COCO_train2014_000000544238,Does this woman have light colored eyes?,Does,Does this woman with red hair have light colored eyes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000544238.jpg
COCO_train2014_000000414887,Is the girl looking at the camera or looking off in the distance?,Is the,Is the girl in the kitchen looking at the camera or looking off in the distance?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000414887.jpg
COCO_train2014_000000383737,Is the weather warm or cool?,Is the,Is the summer weather warm or cool?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000383737.jpg
COCO_train2014_000000330865,Is there a cliff in front of the skier?,Is there,Is there a cliff on the right side in front of the skier?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000330865.jpg
COCO_train2014_000000117578,Is this a pizza?,Is this,Is this a vegetarian pizza?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000117578.jpg
COCO_train2014_000000195992,Are there people in this scene?,Are,Are there tall people in this scene?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000195992.jpg
COCO_train2014_000000415447,Are there stickers?,Are,Are there stickers on the top row?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000415447.jpg
COCO_train2014_000000277857,Are they eating inside?,Are,Are they eating inside a restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000277857.jpg
COCO_train2014_000000291475,Does the stand sell food also?,Does,Does the outdoor stand sell food also?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000291475.jpg
COCO_train2014_000000169203,Does one of the giraffes have its head turned up?,Does,Does one of the giraffes in the background have its head turned up?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000169203.jpg
COCO_train2014_000000161098,Is this a bathroom?,Is this,Is this a commercial bathroom?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000161098.jpg
COCO_train2014_000000324831,Is this airport full?,Is this,Is this international airport full?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000324831.jpg
COCO_train2014_000000263784,Is there a hand dryer available?,Is there,Is there a wall-mounted hand dryer available?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000263784.jpg
COCO_train2014_000000358684,Is this an Australian plane?,Is this,Is this a Boeing plane?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000358684.jpg
COCO_train2014_000000068206,Is there water in the tub?,Is there,Is there water in the tub on the right?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000068206.jpg
COCO_train2014_000000348902,Is the windowsill made out of wood?,Is the,Is the green windowsill made out of wood?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000348902.jpg
COCO_train2014_000000157634,Is the keyboard new?,Is the,Is the mechanical keyboard new?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000157634.jpg
COCO_train2014_000000084956,Is this cow healthy?,Is this,Is this skinny cow healthy?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000084956.jpg
COCO_train2014_000000364487,Is there toilet paper in the room?,Is there,Is there toilet paper next to the toilet in the room?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000364487.jpg
COCO_train2014_000000479886,Is the large animal the parent of the small ones?,Is the,Is the large animal near the trees the parent of the small ones?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000479886.jpg
COCO_train2014_000000288504,Does the smaller vase have the plant in it?,Does,Does the smaller vase on the right have the plant in it?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000288504.jpg
COCO_train2014_000000503935,Do donuts taste sweet?,Do,Do glazed donuts taste sweet?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000503935.jpg
COCO_train2014_000000333049,Is the man walking?,Is the,Is the man with the helmet walking?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000333049.jpg
COCO_train2014_000000289677,Is this a healthy meal?,Is this,Is this vegetarian meal healthy?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000289677.jpg
COCO_train2014_000000563798,Does it look like it is going to rain?,Does,Does it look like it is going to rain in the harbor area?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000563798.jpg
COCO_train2014_000000497807,Is there a creek going through the field?,Is there,Is there a dried-up creek going through the field?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000497807.jpg
COCO_train2014_000000316075,Are there fonts in this picture?,Are,Are there illuminated fonts in this picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000316075.jpg
COCO_train2014_000000114978,Is the skier in this picture wearing safety gear?,Is the,Is the skier in the background wearing safety gear?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000114978.jpg
COCO_train2014_000000482381,Are there enough chairs for a family with octuplets?,Are,Are there enough wooden chairs for a family with octuplets?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000482381.jpg
COCO_train2014_000000365873,Is the baby wearing shoes?,Is the,Is the baby in the pink dress wearing shoes?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000365873.jpg
COCO_train2014_000000476578,Is there a pool in the picture?,Is there,Is there a blue pool in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000476578.jpg
COCO_train2014_000000510718,Is there foil in the refrigerator?,Is there,Is there crumpled foil in the refrigerator?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000510718.jpg
COCO_train2014_000000255480,Is there a bear cub nearby?,Is there,Is there a sleeping bear cub nearby?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000255480.jpg
COCO_train2014_000000433691,Does the woman have a ponytail?,Does,Does the woman in the pink shirt have a ponytail?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000433691.jpg
COCO_train2014_000000393292,Is this photo outdoors?,Is this,Is this photo overlooking the beach outdoors?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000393292.jpg
COCO_train2014_000000495247,Do the plan on sharing?,Do,Do they plan on sharing the dessert?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000495247.jpg
COCO_train2014_000000531027,Is the phone on?,Is the,Is the black phone on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000531027.jpg
COCO_train2014_000000424300,Does this photograph reveal an emotional sensibility?,Does,Does this surreal photograph reveal an emotional sensibility?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000424300.jpg
COCO_train2014_000000429709,Is there a tree behind the giraffe?,Is there,Is there a tree behind the spotted giraffe?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000429709.jpg
COCO_train2014_000000061219,Is there traffic?,Is there,Is there vehicle traffic?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000061219.jpg
COCO_train2014_000000240196,Does the coat fit properly?,Does,Does the oversized coat fit properly?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000240196.jpg
COCO_train2014_000000295236,Is there any house in the picture?,Is there,Is there any wooden house in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000295236.jpg
COCO_train2014_000000081768,Is the bus moving?,Is the,Is the red bus moving?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000081768.jpg
COCO_train2014_000000438102,Does the bridge have train tracks on it?,Does,Does the pedestrian bridge have train tracks on it?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000438102.jpg
COCO_train2014_000000425590,Is this a barn house?,Is this,Is this a yellow barn house?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000425590.jpg
COCO_train2014_000000337728,Is there any way to salvage this rusted out tanker?,Is there,Is there any way to salvage this rusted out tanker in shallow water?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000337728.jpg
COCO_train2014_000000183212,Is there pepper within reach of these people?,Is there,Is there black pepper within reach of these people?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000183212.jpg
COCO_train2014_000000549836,Is there flowers here?,Is there,Is there yellow flowers here?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000549836.jpg
COCO_train2014_000000027105,Is there somewhere to sit in this photo?,Is there,Is there somewhere to sit near the stream in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000027105.jpg
COCO_train2014_000000056971,Are there any baby sheep?,Are,Are there any baby sheep near the fence?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000056971.jpg
COCO_train2014_000000162300,Is the cat preparing to jump?,Is the,Is the cat in the mirror preparing to jump?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000162300.jpg
COCO_train2014_000000355748,Is the bed made?,Is the,Is the red bed made?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000355748.jpg
COCO_train2014_000000366712,Do you see grass anywhere?,Do,Do you see tall grass anywhere?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000366712.jpg
COCO_train2014_000000028037,Is the bench empty?,Is the,Is the wooden bench empty?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000028037.jpg
COCO_train2014_000000335940,Is the cat sleeping?,Is the,Is the gray cat sleeping?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000335940.jpg
COCO_train2014_000000391084,Is there anything inside of the stove?,Is there,Is there anything inside of the stove with the glass door?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000391084.jpg
COCO_train2014_000000006229,Are these dogs all the same color?,Are,Are these small dogs all the same color?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000006229.jpg
COCO_train2014_000000236632,Are all these animals part of the same herd?,Are,Are all these white animals part of the same herd?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000236632.jpg
COCO_train2014_000000516636,Is the faucet turned on?,Is the,Is the bathroom faucet turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000516636.jpg
COCO_train2014_000000200369,Are people waiting for the train?,Are,Are people in the shelter waiting for the train?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000200369.jpg
COCO_train2014_000000401183,Is there any wind blowing?,Is there,Is there any strong wind blowing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000401183.jpg
COCO_train2014_000000125247,Is the glass door open?,Is the,Is the glass door in the background open?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000125247.jpg
COCO_train2014_000000477031,Is there anything alive in this photo?,Is there,Is there anything alive in the garden outside?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000477031.jpg
COCO_train2014_000000392964,Is the AC on?,Is the,Is the AC in the front panel on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000392964.jpg
COCO_train2014_000000209132,Does the man have any gray hair?,Does,Does the man sitting on the bench have any gray hair?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000209132.jpg
COCO_train2014_000000538523,Is there a bike?,Is there,Is there a red bike?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000538523.jpg
COCO_train2014_000000309096,Is the child wearing a bib?,Is the,Is the child in front of the plants wearing a bib?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000309096.jpg
COCO_train2014_000000517451,Are the towels the same color as the toilet?,Are,Are the hanging towels the same color as the toilet?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000517451.jpg
COCO_train2014_000000086208,Is this person hungry?,Is this,Is this person in the background hungry?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000086208.jpg
COCO_train2014_000000100084,Is there a statue?,Is there,Is there a stone statue?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000100084.jpg
COCO_train2014_000000005434,Is the puppy hiding his favorite toy behind the planter?,Is the,Is the white puppy hiding his favorite toy behind the planter?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000005434.jpg
COCO_train2014_000000425837,Is this edible object high in carbohydrates?,Is this,Is this edible object with anchovies high in carbohydrates?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000425837.jpg
COCO_train2014_000000110873,Is there a bag in the trash canister?,Is there,Is there a plastic bag in the trash canister?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000110873.jpg
COCO_train2014_000000575641,Is the dark guy wearing shades?,Is the,Is the dark guy with the cap wearing shades?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000575641.jpg
COCO_train2014_000000148295,Does the elephant recognize the man?,Does,Does the elephant in the enclosure recognize the man?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000148295.jpg
COCO_train2014_000000440291,Is there a hill in the background?,Is there,Is there a wooded hill in the background?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000440291.jpg
COCO_train2014_000000156652,Is the picture in color?,Is the,Is the picture in grayscale?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000156652.jpg
COCO_train2014_000000426758,Is the grass green?,Is the,Is the grass near the fire hydrant green?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426758.jpg
COCO_train2014_000000166813,Is there a reflection in the image?,Is there,Is there a mirror reflection in the image?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000166813.jpg
COCO_train2014_000000523870,Is there a car on the street?,Is there,Is there a red car on the street?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000523870.jpg
COCO_train2014_000000331409,Is there alcohol in the photo?,Is there,Is there red alcohol in the photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000331409.jpg
COCO_train2014_000000399097,Is the ground painted at all?,Is the,Is the wet ground painted at all?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000399097.jpg
COCO_train2014_000000036059,Is there a utensil in this photo?,Is there,Is there a metal utensil in this photo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000036059.jpg
COCO_train2014_000000426513,Is there red in the picture?,Is there,Is there dark red in the picture?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000426513.jpg
COCO_train2014_000000130876,Is this meal being served at a restaurant?,Is this,Is this Italian meal being served at a restaurant?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000130876.jpg
COCO_train2014_000000378659,Is this one bench or multiple benches?,Is this,Is this one wooden bench or multiple benches?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000378659.jpg
COCO_train2014_000000311641,Is this entertaining?,Is this,Is this airplane near the clouds entertaining?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000311641.jpg
COCO_train2014_000000046265,Is this in a city setting?,Is this,Is this in a downtown city setting?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000046265.jpg
COCO_train2014_000000369736,Is this a zoo?,Is this,Is this a safari zoo?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000369736.jpg
COCO_train2014_000000041729,Are the calculators turned on?,Are,Are the white calculators turned on?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000041729.jpg
COCO_train2014_000000134008,Is the train making smoke?,Is the,Is the green and yellow train making smoke?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000134008.jpg
COCO_train2014_000000248925,Is the surfer competing?,Is the,Is the surfer in the yellow wetsuit competing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000248925.jpg
COCO_train2014_000000325863,Is the woman facing the camera?,Is the,Is the woman in uniform facing the camera?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000325863.jpg
COCO_train2014_000000040129,Are there orange cones?,Are,Are there orange cones near the bus?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000040129.jpg
COCO_train2014_000000420051,Is the person in blue playing?,Is the,Is the person in blue with white stripes playing?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000420051.jpg
COCO_train2014_000000119108,Is this horse stretching?,Is this,Is this spotted horse stretching?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000119108.jpg
COCO_train2014_000000519617,Is the carrot too big?,Is the,Is the orange carrot too big?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000519617.jpg
COCO_train2014_000000459942,Does the elephant have tusks?,Does,Does the elephant near the bushes have tusks?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000459942.jpg
COCO_train2014_000000411475,Does the bear look dangerous?,Does,Does the bear near the water look dangerous?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000411475.jpg
COCO_train2014_000000194154,Are they in a party?,Are,Are they in a formal party?,https://vqa-data.s3.us-east-2.amazonaws.com/train_sample_images/COCO_train2014_000000194154.jpg
