index,question_id_unique,image_id,question,gt_answer,sent,mturk_answer,Answer.mod_type.property,Answer.mod_type.relational,q_type,ans_type,pred_answer,fpred_answer,question_id,answer_gpt4mini,answer_gpt4mini_to_question,answer_gemini_to_sent,ans_gemini_question,ans_llava_modques_sent,ans_Claude_modques_sent,ans_GPT4o_modques_sent,Modified_question,ans_gpt4o_modques,ans_gemini_modques,ans_claude_modques,ans_llava_modques,ans_gemma_modques
1945,2887070021,COCO_train2014_000000288707,Why is there a shadow on the fire hydrant?,yes,Why is there a shadow on the fire hydrant in the street?,yes,FALSE,TRUE,Why,same,sun,sun,288707002,Light,Light.,Light,Light," Yes, there is a shadow on the fire hydrant because it's nighttime and the photo is taken with artificial lighting, likely from nearby streetlights or buildings. The shadow is cast by the source of light that is higher up than the hydrant itself, such as the moon or streetlight. ",Nighttime,Light,Why is there a shadow on the fire hydrant on the road?,Lighting,"Darkness
",Nighttime," Yes, there is a shadow on the fire hydrant in the image. The shadow appears to be cast by an external light source or possibly from the sky. However, without more information about the lighting conditions at the time the photo was taken, it's not possible to provide a specific reason for why the shadow is present. ",Building
1954,3675530041,COCO_train2014_000000367553,Why are they jumping?,frisbee,Why are they jumping at the park?,frisbee,FALSE,TRUE,Why,same,to catch frisbee,to catch frisbee,367553004,Frisbee,Frisbee,Frisbee,Frisbee,Playing frisbee,Frisbee,Frisbee,Why are the two people jumping?,Frisbee,Frisbee,Frisbee, They're playing frisbee ,Discs
1979,613380021,COCO_train2014_000000061338,Where was this picture taken?,beach,Where was this picture taken with this seating?,beach,FALSE,TRUE,Where,same,beach,beach,61338002,Beach,Beach,Greece,Greece,Beach,Beach,Beach,Where was this picture with umbrellas taken?,Beach,"Beach
",Beach, Beach ,Crete
1991,815040031,COCO_train2014_000000081504,Which of these can be sliced in half and juiced?,oranges,Which of these can be sliced in half color and juiced?,oranges,TRUE,FALSE,Which,same,orange,orange,81504003,Watermelon,Pineapple,Orange,Orange,Orange,Orange,Carrot,Which of the healthy fruits can be sliced in half and juiced?,Orange,"Oranges
",Orange, Orange ,Carrots
1996,937950351,COCO_train2014_000000093795,Which animal is this?,bird,Which animal is this on the grass?,bird,FALSE,TRUE,Which,same,birds,bird,93795035,Birds,Birds,Pheasant,Pheasant,Duck,Quail,Birds,Which small animal is this?,Birds,"Pheasant
",Quail, Duck ,Pheasant
2111,5635780081,COCO_train2014_000000563578,Which animal is this?,cow,Which large animal is this?,cow,TRUE,FALSE,Which,same,cow,cow,563578008,Cow.,Cow,Cow,Cow,Cow,Cow,Cow,Which animal is next to the pole?,Cow,"Cow
",Cow, Cow ,Cow
2113,1975990001,COCO_train2014_000000197599,Why does this animal have hair?,baby,Why does this animal have hair in the sand?,baby,FALSE,TRUE,Why,same,yes,yes,197599000,Mane,Insulation,Dust,Warmth,Yes,Camouflage,Elephant,Why does this animal have brown hair?,Unknown,Genetics,Camouflage, The animal has not hair. It is an elephant. ,Elephant
2161,3530000041,COCO_train2014_000000353000,Where was the picture taken?,zoo,Where was the giraffe picture taken?,zoo,TRUE,FALSE,Where,same,zoo,zoo,353000004,Zoo,Zoo,Zoo,Zoo,Zoo,Zoo,Zoo,Where was the picture of the animal taken?,Zoo,Zoo,Zoo, Zoo ,Zoo
2186,2349570041,COCO_train2014_000000234957,Which horse is a baby?,left,Which one of the brown horses is a baby?,left,TRUE,FALSE,Which,same,left,left,234957004,Foal,Foal,Foal,Left,Left,Left,Left,Which horse is the smallest one?,Foal,"Foal
",Foal, Foal ,Foal
2222,1676930001,COCO_train2014_000000167693,Where are the zebras facing?,right,Where are the zebras facing on the grass?,right,FALSE,TRUE,Where,same,right,left,167693000,Forward,Forward,Left,Left,Away from camera,Right,Right,Where are the striped zebras facing?,Right,Right,Right, Left ,Forward
2244,1966110011,COCO_train2014_000000196611,Where is the telephone?,desk,Where is the telephone in the room?,desk,FALSE,TRUE,Where,same,corner,on table,196611001,Unknown.,Absent,Desk,Desk,Table,Desk,Desk,Where is the small telephone?,Desk,"Absent
",Desk, Table ,Desk
2262,2363400021,COCO_train2014_000000236340,Why is there an umbrella in the room?,photography,Why is there an umbrella in the room in the picture?,photography,TRUE,FALSE,Why,same,yes,light,236340002,Unknown.,Unknown,Lighting,Photography," There isn't an umbrella in the room in the picture. The image shows a living room with various items scattered on the floor, including books, papers, and possibly clothing or accessories. It looks like the space is being used for some sort of activity or event that has temporarily disorganized the area. ",Photography,Photography,Why is there an umbrella on the couch?,Photography.,"Photoshoot
",Photography," There isn't an umbrella on the couch. The image shows a room with various items scattered around, but no umbrellas are visible. ",Photography
2275,5265920021,COCO_train2014_000000526592,Why do the horses wear black squares near their eyes?,protection,Why do the horses on the street wear black squares near their eyes?,protection,TRUE,FALSE,Why,same,protection,protection,526592002,Blinders.,Blinders,Flys,Flys,Blinders,Blinders,Blinkers,Why do the horses wear small black squares near their eyes?,Blinders,Fly protection,Blinders, Blinders ,Protection
2292,434440031,COCO_train2014_000000043444,Why is the number on the man's shirt?,10,Why is the number on the man's shirt in the snow area?,10,FALSE,TRUE,Why,same,yes,yes,43444003,Identification,Identifier.,Identification,Identification,Identification,Competition,Skiing,Why is the number on the man's red shirt?,I don't know.,"Identification
",Competition, Unknown without context. ,Eighteen
2339,192380031,COCO_train2014_000000019238,Which of the teddy bear's hands is on top?,right,Which of the brown teddy bear's hands is on top?,right,TRUE,FALSE,Which,same,left,left,19238003,Right.,Left,Left,Left,Right,Left,Right,Which of the teddy bear's hands is on top of the duck?,Right,"Left
",Right, Right ,Left
2385,1295530031,COCO_train2014_000000129553,Why doesn't the dog close his mouth?,panting,Why dose not the brown color dog close his mouth?,panting,TRUE,FALSE,Why,same,yes,mouth,129553003,Smiling.,Happy,Panting,Panting,No idea why dog is looking in my direction,Panting,Unknown,Why doesn't the dog with the silver fur close his mouth?,Unknown,"Panting
",Panting," Dogs don't close their mouths for speech like humans do, so it's not possible to determine why this particular dog has its mouth open. It could simply be because the dog is panting or excited, or it might just be a coincidence that caught your attention. ",Mouth
2398,3836510001,COCO_train2014_000000383651,Which animal is standing?,giraffe,Which big animal is standing?,giraffe,TRUE,FALSE,Which,same,giraffe,giraffe,383651000,Giraffe,Giraffe,Giraffe,Giraffe,Giraffe,Giraffe,Giraffe,Which animal is standing on the ground?,Giraffe,"Giraffe
",Giraffe, Giraffe ,Giraffe
2403,2237260021,COCO_train2014_000000223726,Who were these men?,presidents,Who were these size men?,presidents,TRUE,FALSE,Who,same,unknown,men,223726002,Presidents,Presidents.,Presidents,Presidents,Presidents,Presidents,I don't know.,Who were these men wearing suits?,I don't know.,Presidents,Presidents, President obama ,Presidents
2404,1917170031,COCO_train2014_000000191717,Where is this?,kitchen,Where is this fridge?,kitchen,TRUE,FALSE,Where,same,kitchen,kitchen,191717003,Kitchen.,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen,Where is this in the house?,Kitchen,"Kitchen
",Kitchen, Kitchen ,Dining
2410,1257610091,COCO_train2014_000000125761,Where is the hot dog?,plate,"Where is the small, fully cooked hot dog?",plate,TRUE,FALSE,Where,same,no,plate,125761009,Plate,Plate,Absent,Absent,Plate,Right side,Plate,Where is the hot dog on the table?,Absent,"Absent
",Right side, Not visible in image. ,Missing
2434,5578750011,COCO_train2014_000000557875,Why is the pavement wet?,rain,Why is the road wet?,rain,TRUE,FALSE,Why,same,rain,rain,557875001,Rain.,Rain,Rain,Rain,Rain,Rain,Rain,Why is the pavement not dry?,Rain.,"Rain
",Rain, Rain ,Rain
2435,270410011,COCO_train2014_000000027041,Where are the cars parked?,street,Where are the cars parked by the picture?,street,TRUE,FALSE,Where,same,parking lot,parking lot,27041001,Street.,Street.,Street,Nearby,Parking lot,Street,Street,Where are the cars parked on the road?,Street,Roadside,Background, Cars parked on street ,Sidewalk
2503,5245720001,COCO_train2014_000000524572,Where is the cat sitting?,stump,Where is the brown cat sitting?,stump,TRUE,FALSE,Where,same,pole,stand,524572000,Log,Log.,Tree stump,Stump,Table,Stump,Stump,Where is the brown cat sitting?,Stump,"Stump
",Stump, Stump ,Timber
5147,3992820031,COCO_train2014_000000399282,Who is riding the elephant?,man,Who is riding the elephant in the grass field?,man,FALSE,TRUE,Who,same,man,man,399282003,Unknown,Unknown,Mahout,Mahout,Man,Person,Unknown,Who is riding the big elephant?,Unknown,Mahout,Person, Man ,Man
5211,2964550041,COCO_train2014_000000296455,Which person is going to a fancy event?,both,Which person in the room is going to a fancy event?,both,FALSE,TRUE,Which,same,no,man,296455004,Groom.,Dressing.,Man,Man,Man on left,Both,Front,Which person in white shirt is going to a fancy event?,Front,Man,Left, Man with red tie ,Wedding
5253,2576320031,COCO_train2014_000000257632,Who brought the umbrella?,woman,Who brought the clourfull umbrella?,woman,TRUE,FALSE,Who,same,person,person,257632003,Unknown.,Unknown.,Someone,Person,Man,Beachgoer,Unknown.,Who brought the umbrella with man colors?,Unknown,Someone,Unknown, Unknown ,Man
5265,4481390041,COCO_train2014_000000448139,Which animals are these?,horses,Which grazing animals are these?,horses,TRUE,FALSE,Which,same,horses,horses,448139004,Horses,Horses,Horses,Horses,Horses,Horses,Horses,Which animals are these on the land?,Horses,"Horses,cows",Horses, Horses ,Horses
5283,461710021,COCO_train2014_000000046171,Where is light coming from?,window,Where is the light entering the room?,window,TRUE,FALSE,Where,same,window,window,46171002,Window,Window,Window,Window,Window,Window,Window,Where is light coming from towards the doll?,Window,"Window
",Window, Window ,Window
5330,228820351,COCO_train2014_000000022882,Which hand is holding the glass?,right,Which hand of a woman is holding the glass?,right,TRUE,FALSE,Which,same,left,right,22882035,Right.,Right,Right,Right,Right,Right,Right,Which hand of the women is holding the glass?,Right,Right,Right, Right ,Right
5427,1687300021,COCO_train2014_000000168730,Where is the photo taken?,kitchen,Where is the white cupboard in the photo taken?,kitchen,TRUE,FALSE,Where,same,kitchen,kitchen,168730002,Kitchen.,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen,Kitchen,Where is the photo taken in the house?,Kitchen,Kitchen,Kitchen, Kitchen ,Kitchen
5445,5667240031,COCO_train2014_000000566724,Who is looking out the window?,cat,Who is looking out the large window?,cat,TRUE,FALSE,Who,same,cat,cat,566724003,Cat,Cat,Cat,Cat,Cat,Cat,Cat,Who is the animal that is looking out the window?,Cat,"Cat
",Cat, Cat ,Cat
5458,5352780071,COCO_train2014_000000535278,Why might this woman be trying to touch the screen?,work,Why might this woman be trying to touch the screen in the table?,work,FALSE,TRUE,Why,same,unknown,unknown,535278007,Frustration.,Curiosity.,Working,Work,Computer mouse is missing,Working,Knitting,Why might this woman with the brown hair be trying to touch the screen?,Unclear,Work,Working, Tired ,Screen
5469,5799950091,COCO_train2014_000000579995,Where is the woman sitting?,bed,Where is the woman sitting on?,bed,FALSE,TRUE,Where,same,bed,bed,579995009,Bed,Bed.,Bed,Bed,Bed,Bed,Bed,Where is the adult woman sitting?,Bed,Bed,Bed, Bed ,Bed
5490,3811600021,COCO_train2014_000000381160,Who makes this mouse?,apple,Who makes this white color mouse?,apple,TRUE,FALSE,Who,same,apple,apple,381160002,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Who makes the white mouse?,Apple,"Apple
",Apple, Apple ,Apple
5504,610011,COCO_train2014_000000000061,Why are the people on the elephants?,riding,Why are these people in elephants in forest?,riding,FALSE,TRUE,Why,same,riding,transportation,61001,Tourism.,Riding.,Tourism,Riding,Safari,Tourism,Tourism,Why are the people sitting on the elephants?,Tourism,Transportation,Tourism, Riding ,Tourism
5533,3858040001,COCO_train2014_000000385804,"Why does the horse have a number ""4"" on its back?",racing,"Why does the brown horse have a number ""4"" on its back?",racing,TRUE,FALSE,Why,same,racing,racing,385804000,Identification.,Identification.,Identification,Identification," The number ""4"" on the horse's back likely indicates its racing position in a competition or event, such as a horse race or equestrian show. In this case, it seems to be associated with the person riding the horse, who is also wearing a purple and white vest, which could suggest they are participating in a race or competition with that number. ",Racing,Racing,"Why does the running horse have a number ""4"" on its back?",Race,"Identification
",Race identification," The horse with the number ""4"" on its back is likely participating in a race, and the number signifies that it's the fourth horse in the lineup or order of entry. In racing events, horses are often assigned numbers for identification purposes. ",Racing
5544,1604290001,COCO_train2014_000000160429,Which way is the giraffe facing?,left,Which way is the brown and white giraffe facing?,left,TRUE,FALSE,Which,same,right,right,160429000,Left,Left,Left,Left,Right,Left,Right,Which way is the spotted giraffe facing?,Right,Left,Left, Right ,Upward
5583,121020041,COCO_train2014_000000012102,Where is this cat lying?,toilet,Where is this black cat lying?,toilet,TRUE,FALSE,Where,same,toilet,toilet,12102004,Toilet,Toilet,Toilet,Toilet,Toilet,Toilet,Toilet,Where is this flufy cat lying?,Toilet,Toilet,Toilet, No cat is seen in the image. ,Toilet
5603,4178700011,COCO_train2014_000000417870,Which game are they playing?,skateboarding,Which game are they playing at night?,skateboarding,FALSE,TRUE,Which,same,skateboarding,skateboarding,417870001,Skateboarding.,Skateboarding.,Skateboarding,Skateboarding,Skateboarding,Skateboarding,Skateboarding,Which game are they playing with  a skateboard?,Skateboarding,Skateboarding,Skateboarding, Skateboarding ,Skateboarding
5605,945890021,COCO_train2014_000000094589,Who are in the photo?,babies,Who are in the chair ?,babies,TRUE,FALSE,Who,same,children,people,94589002,Unknown.,Unknown,Babies,Babies,Baby,Babies,Children,Who are in the photo on the chairs?,Unknown,"Babies
",Babies, Babies ,Babies
